___	___	___	SMILES	___	__	__	__(MJ/Kg)	___		____(Hartree)	____	_Gsol	x1	cavity surface area	SASA*T(x2)	___(KJ/mol)	___(Kcal/mol)	C___	H___	____(Kcal/mol)	___(kcal/mol)	O2 needed(mol)	O2___(kcal/mol)
____	Cumene 	C9H12	CC(C)C1=CC=CC=C1	120.2		0.864	42.11 	-96.02		-349.835	-349.855	-0.02	-12.5502 	167.8	50029.57	52.5193 	12.55241555	9	12	-219524.9609	-1050.087 	12	-1209.166 
___	Butylbenzene	C10H14	CCCCC1=CC=CC=C1	134.22		0.8601	42.45 	-87.85		-389.113	-389.124	-0.011	-6.9026 	194.548	58004.4862	61.9343 	14.80266851	10	14	-244172.2986	-1166.024 	13.5	-1361.011 
____	"sec-Butylbenzene,"	C10H14	CC(C)CC1=CC=CC=C1	134.22		0.8621	42.45 	-82.7															
"1,2,4-____"	"1,2,4-trimethylbenzene"	C9H12	CC1=C(C)C=C(C)C=C1	120.2		0.8758	42.04 	-43.8		-350.026	-350.0496	-0.0236	-14.8092 	171.027	50991.70005	52.9053 	12.64468996	9	12	-219644.8153	-930.140 	12	-1207.247 
"1,2-___-4-___"		C10H14	CC1=C(C)C=C(CC)C=C1	134.22		0.8706	42.44 	-66.9															
1-___-2-___	1-tert-Butyl-2-methylbenzene	C11H16	CC(C)(C)C1=CC=CC=C1C	148.245		0.8897	42.72 	-50.3		-428.376	-428.386	-0.01	-6.2751 	199.438	59462.4397	63.5523 	15.18937255	11	16	-268810.2238	-1293.237 	15	-1513.036 
1-___-3-___	1-tert-Butyl-3-methylbenzene	C11H16	CC(C)(C)C1=CC=CC(C)=C1	148.25		0.8657	42.72 	-41.4															
__	Diphenyl	C12H10	C1(C2=CC=CC=C2)=CC=CC=C1	154.207		1.04	48.1	68.93		-462.933	-462.9435	-0.0105	-6.5889 	189.391	56466.92665	60.4768 	14.45430497	12	10	-290495.0868	-1305.134 	14.5	-1463.230 
2-____	2-methylbiphenyl	C13H12	CC1=CC=CC=C1C2=CC=CC=C2	168.24		1.0113	40.18796529	-0.2		-502.2	-502.214	-0.014	-8.7851 	210.14	62653.241	66.1030 	15.79901475	13	12	-315135.522	-1428.879 	16	-1615.199 
4-____	4-Pentylbiphenyl	C17H20	CCCCCC(C=C1)=CC=C1C2=CC=CC=C2	224.35		0.943	41.47935409	10		-659.265	-659.282	-0.017	-10.6677 	293.995	87654.60925	90.6244 	21.65975583	17	20	-413695.3802	-1925.260 	22	-2223.099 
_____	Diphenylmethane	C13H12	C1(CC2=CC=CC=C2)=CC=CC=C1	168.24		1.001	40.18915552	25.4		-502.195	-502.211	-0.016	-10.0402 	213.287	63591.51905	66.7213 	15.94677966	13	12	-315132.3845	-1431.869 	16	-1615.247 
4-__-1_1'-__	"4-Benzyl-1,1Õ-bipheny"	C19H16	C1(CC2=CC=C(C3=CC=CC=C3)C=C2)=CC=CC=C1	244.33		1.171	39.83912824	85		-733.082	-733.102	-0.02	-12.5502 	293.38	87471.247	89.9609 	21.50119754	19	16	-460016.2858	-2066.063 	23	-2325.345 
1_1'-__	"1,1Õ-Binaphthyl"	C20H14	C12=CC=CC=C1C(C3=CC=CC4=CC=CC=C43)=CC=C2	254.325		1.3	39.12111314	160		-769.955	-769.976	-0.021	-13.1777 	273.875	81655.83125	83.9855 	20.07303428	20	14	-483154.4621	-2160.090 	23.5	-2376.846 
_	naphthalene	C10H8	C12=CC=CC=C1C=CC=C2	128.17		1.0253	39.50734179	81		-385.5836	-385.596	-0.0124	-7.7811 	158.922	47382.5943	51.0884 	12.21043124	10	8	-241957.5648	-1081.225 	12	-1209.665 
1-___	1-Methylnaphthalene 	C11H10	CC1=C(C=CC=C2)C2=CC=C1	142.2		1.0202	40.08230257	-30.43		-424.853	-424.865	-0.012	-7.5301 	176.678	52676.5457	56.4464 	13.49101472	11	10	-266599.506	-1203.528 	13.5	-1361.611 
"1,2-____"	"1,2-methy-naphthalene"	C12H12	CC1=C(C=CC=C2)C2=CC=C1C	156.23		1.001	40.55411368	0.8		-464.122	-464.134	-0.012	-7.5301 	194.331	57939.78765	61.7096 	14.74896064	12	12	-291241.1962	-1326.105 	15	-1513.562 
"1,5-____"		C12H12	CC1=C(C=CC=C2C)C2=CC=C1	156.23		1	40.55354345	82		-464.124	-464.136	-0.012	-7.5301 	195.385	58254.03775	62.0239 	14.82406827	12	12	-291242.4512	-1324.775 	15	-1513.540 
2-___	2-ethy-naphthalene	C12H12	CCC1=CC=C2C(C=CC=C2)=C1	156.23		0.9922	40.55451206	-7.4		-464.12	-464.133	-0.013	-8.1576 	199.439	59462.73785	63.0725 	15.07471019	12	12	-291239.9412	-1327.034 	15	-1513.577 
_____	cis-decalin	C10H18	[H][C@@]12CCCC[C@]1([H])CCCC2	138.25		0.8965	44.25967916	-42.9		-391.485	-391.493	-0.008	-5.0201 	185.046	55171.4649	59.5813 	14.24029331	10	18	-245660.7524	-1212.882 	14.5	-1461.754 
_____	trans-decalin	C10H18	[H][C@@]12CCCC[C@@]1([H])CCCC2	138.25		0.8659	44.25838402	-30.4		-391.489	-391.498	-0.009	-5.6476 	187.875	56014.93125	60.2648 	14.40364221	10	18	-245663.2624	-1210.209 	14.5	-1461.711 
___	tetralin	C10H12	C12=C(CCCC2)C=CC=C1	132.21		0.9645	41.49273673	-35.7		-387.944	-387.955	-0.011	-6.9026 	170.792	50921.6348	54.8515 	13.10982519	10	12	-243438.7394	-1133.901 	13	-1310.500 
1-_____	1-methy-tetralin	C11H14	CC1CCCC2=C1C=CC=C2	146.23		0.9583	41.86519174	-28.56		-427.21	-427.221	-0.011	-6.9026 	188.356	56158.3414	60.0882 	14.361429	11	14	-268078.5471	-1258.366 	14.5	-1462.481 
2-_____		C11H14	CC1CC2=C(C=CC=C2)CC1	146.23		0.9536	41.86426645	-26.57		-427.213	-427.224	-0.011	-6.9026 	190.288	56734.3672	60.6642 	14.49910257	11	14	-268080.4296	-1256.346 	14.5	-1462.449 
5-_____	"1,2,3,4-Tetrahydro-5-methylnaphthalene"	C11H14	CC1=CC=CC2=C1CCCC2	146.23		0.972	41.86433527	-23		-427.213	-427.225	-0.012	-7.5301 	188.716	56265.6754	60.0355 	14.34883792	11	14	-268080.4296	-1256.497 	14.5	-1462.451 
5-_____	5-ethy-tetralin	C12H16	CCC1=CC=CC2=C1CCCC2	160.26		0.9533	42.16955371	-36.56		-466.477	-466.490 	-0.013	-8.1576 	207.946	61999.0999	65.6089 	15.6809157	12	16	-292718.9823	-1382.137 	16	-1614.451 
_	anthracene	C14H10	C12=CC=CC=C1C=C3C=CC=CC3=C2	178.23		1.28	39.13467092	215.76		-539.115	-539.131	-0.016	-10.0402 	205.545	61283.24175	64.4130 	15.39508775	14	10	-338300.0537	-1495.526 	16.5	-1666.262 
1-___	1-methy-anthracene	C15H12	CC1=C2C=C3C=CC=CC3=CC2=CC=C1	192.26		1.0471	39.58674958	85.5		-578.386	-578.402	-0.016	-10.0402 	224.376	66897.7044	70.0275 	16.73697749	15	12	-362942.9989	-1616.764 	18	-1818.191 
2-___	2-methy-anthracene	C15H12	CC1=CC=C2C=C3C=CC=CC3=CC2=C1	192.26		1.8	39.587	209															
9-___	9-methy-anthracene	C15H12	CC1=C2C=CC=CC2=CC3=CC=CC=C13	192.26		1.065	39.58769236	81.5		-578.382	-578.397	-0.015	-9.4127 	221.085	65916.49275	69.2063 	16.54070665	15	12	-362940.4888	-1619.470 	18	-1818.235 
"9,10-____"	"9,10-Dimethylanthracene"	C16H14	CC1=C2C=CC=CC2=C(C)C3=CC=CC=C13	206.28		1.084	39.98168537	183.6		-617.646	-617.662	-0.016	-10.0402 	235.832	70313.3108	73.4431 	17.5533276	16	14	-387579.0415	-1745.430 	19.5	-1970.239 
_____	"1,2,3,4,5,6,7,8-Octahydroanthracene"	C14H18	C1(CCCC2)=C2C=C(CCCC3)C3=C1	186.3		0.9703	41.9697064	78		-543.841	-543.855	-0.014	-8.7851 	228.667	68177.06605	71.6269 	17.11924156	14	18	-341265.6659	-1597.690 	18.5	-1867.883 
______		C14H18	C12=CC=CC=C1CC3C(CCCC3)C2	186.3		0.9836	42.19532776	76		-542.841	-542.855	-0.014	-8.7851 	227.588	67855.3622	71.3052 	17.04235244	14	18	-340638.1559	-2225.277 	18.5	-1877.924 
___		C14H24	C12CCCCC1CC3C(CCCC3)C2	192.35		0.9389	43.94012929	79.5		-547.387	-547.398	-0.011	-6.9026 	244.642	72940.0123	76.8698 	18.37234748	14	24	-343490.8164	-1673.411 	20	-2019.084 
9-_____		C15H26	CC1C2CCCCC2CC3C1CCCC3	206.37		0.9439	44.03822498	89.6		-586.651	-586.662	-0.011	-6.9026 	260.467	77658.23605	81.5881 	19.50003083	15	26	-368129.369	-1799.256 	21.5	-2171.087 
9-_____		C16H28	CCC1C2CCCCC2CC3C1CCCC3	220.4		0.9417	44.1219	91.2										16	28			23	-2292.288 
"9,10-___"	"9,10-Dihydroanthracene"	C14H12	C12=CC=CC=C1CC3=C(C=CC=C3)C2	180.25		1.215	39.86654224	111		-540.297	-540.312	-0.015	-9.4126 	211.711	63121.63465	66.4114 	15.87271905	14	12	-339041.7705	-1520.707 	17	-1716.661 
"9,10-______"		C16H28	CC1C2C(CCCC2)C(C)C3CCCCC31	220.4		0.9489	44.122	93.2															
_	phenanthrene	C14H10	C12=CC=CC=C1C=CC3=CC=CC=C23	178.23		0.98	39.13213348	99.24		-539.126	-539.142	-0.016	-10.0402 	203.437	60654.74155	63.7845 	15.24487249	14	10	-338306.9563	-1488.774 	16.5	-1666.154 
1-___	1-Methylphenanthrene	C15H12	CC1=C2C=CC3=CC=CC=C3C2=CC=C1	192.26		1.105	39.58488301	123		-578.395	-578.411	-0.016	-10.0402 	220.314	65686.6191	68.8164 	16.44752095	15	12	-362948.6465	-1611.406 	18	-1818.105 
2-___	2-ethy-phenanthrene	C16H14	CCC1=CC=C2C3=CC=CC=C3C=CC2=C1	206.29		1.082	39.97654609	124.6		-617.661	-617.678	-0.017	-10.6677 	242.643	72344.01045	75.3138 	18.00043227	16	14	-387588.4541	-1735.570 	19.5	-1970.082 
"3,6-____"		C16H14	CC1=CC=C2C=CC3=CC=C(C)C=C3C2=C1	206.29		1.1	39.97550003	141		-617.666	-617.683	-0.017	-10.6677 	243.827	72697.02005	75.6668 	18.08480365	16	14	-387591.5917	-1732.349 	19.5	-1970.030 
"1,2,6-____"	"1,2,6-trimethylphenanthrene"	C17H16	CC1=C2C=CC3=CC=C(C)C=C3C2=CC=C1C	220.32		1.1	40.3173124	145.3		-656.933	-656.95	-0.017	-10.6677 	258.43	77050.9045	80.0206 	19.12540775	17	16	-412232.0268	-1856.398 	21	-2122.004 
"9,10-___"	"9,10-Dihydrophenanthrene"	C14H12	C12=CC=CC=C1CCC3=C2C=CC=C3	180.25		1.0757	39.86654224	34.5		-540.297	-540.312	-0.015	-9.4126 	211.711	63121.63465	66.4114 	15.87271905	14	12	-339041.7705	-1520.707 	17	-1716.661 
___	"1,2,3,4,5,6,7,8-Octahydrophenanthrene"	C14H18	C1(CCCC2)=C2C=CC3=C1CCCC3	186.30 		1.026	41.96996911	16.7		-543.84	-543.854	-0.014	-8.7851 	227.218	67745.0467	71.1948 	17.01598639	14	18	-341265.0384	-1598.421 	18.5	-1867.894 
___	Tetradecahydrophenanthrene	C14H24	C12CCCCC1C3C(CCCC3)CC2	192.35		0.944	43.94	-3															
"1,2,3,4-___"	"1,2,3,4-Tetrahydrophenanthrene"	C14H14	C12=C(CCCC2)C=CC3=C1C=CC=C3	182.26		1.0601	40.58379597	33.5		-541.482	-541.496	-0.014	-8.7851 	215.225	64169.33375	67.6191 	16.16136987	14	14	-339785.3698	-1544.194 	17.5	-1767.034 
_	Pyrene	C16H10	C12=CC=C3C=CC=C4C=CC(C2=C34)=CC=C1	202.26		1.271	38.68202378	150.62		-615.322	-615.338	-0.016	-10.0402 	216.376	64512.5044	67.6423 	16.1669006	16	10	-386120.7082	-1670.400 	18.5	-1869.046 
4-___	4-methylpyrene	C17H12	CC1=C2C=CC=C(C2=C34)C=CC4=CC=CC3=C1	216.28		1.2	39.11525762	147.87		-654.592	-654.609	-0.017	-10.6677 	234.972	70056.9018	73.0266 	17.45379979	17	12	-410763.0259	-1792.320 	20	-2020.986 
2-___	2-methylpyrene	C17H12	CC1=CC2=CC=C3C=CC=C4C=CC(C2=C34)=C1	216.28		1.213	39.11521609	143		-654.592	-654.609	-0.017	-10.6677 	236.854	70618.0201	73.5878 	17.58791038	17	12	-410763.0259	-1792.186 	20	-2020.984 
1-___	1-methylpyrene	C17H12	CC1=C(C2=C34)C=CC4=CC=CC3=CC=C2C=C1	216.28		1.2	39.115216	71.3															
_	Fluorene	C13H10	C1(CC2=C3C=CC=C2)=C3C=CC=C1	166.22		1.203	39.40392513	114.77		-501.0316	-501.046	-0.0144	-9.0361 	195.15	58183.9725	61.5698 	14.71553536	13	10	-314402.3393	-1395.770 	15.5	-1564.673 
2-___		C14H12	CC1=CC(CC2=C3C=CC=C2)=C3C=C1	180.25		1.1	39.86550388	134.34		-540.301	-540.316	-0.015	-9.4126 	215.703	64311.84945	67.6016 	16.15718742	14	12	-339044.2805	-1517.912 	17	-1716.617 
9-___	9-Methyl-9H-flfluorene	C14H12	CC1C2=C(C3=C1C=CC=C3)C=CC=C2	180.25		1.0263	39.8655	46.5															
9-___		C15H14	CCC1C2=C(C3=C1C=CC=C3)C=CC=C2	194.28		1.047	40.26197617	56.48		-579.5635	-579.579	-0.0155	-9.7264 	233.474	69610.2731	72.8200 	17.4044197	15	14	-363681.8919	-1644.579 	18.5	-1868.633 
"9,9-____"		C15H14	CC1(C)C2=C(C3=C1C=CC=C3)C=CC=C2	194.28		1.1	40.2608094	96		-579.569	-579.584	-0.015	-9.4126 	232.268	69250.7042	72.5405 	17.33760288	15	14	-363685.3432	-1641.194 	18.5	-1868.579 
_	indan	C9H10	C12=C(CCC2)C=CC=C1	118.18		0.9639	41.10428661	-51.38		-347.477													-1160.465 
"1,1-_____"	"1,1-Dimethylindan"	C11H14	CC1(C)CCC2=C1C=CC=C2	146.229		0.919	41.8653279	-34.24		-427.21	-427.221	-0.011	-6.9026 	192.956	57529.8314	61.4597 	14.68922321	11	14	-268078.5471	-1258.039 	14.5	-1462.476 
1-3-_____	"1,3-Dimethylindan"	C11H14	CC1CC(C)C2=C1C=CC=C2	146.229		0.922	41.86564403	-38.45		-427.209	-427.22	-0.011	-6.9026 	192.076	57267.4594	61.1973 	14.62651475	11	14	-268077.9196	-1258.729 	14.5	-1462.487 
1-5-___-__	"1,5-Dimethylindan"	C11H14	CC1=CC2=C(C(C)CC2)C=C1	146.229		0.9351	41.86524363	-35.12		-427.21	-427.221	-0.011	-6.9026 	195.538	58299.6547	62.2295 	14.87321553	11	14	-268078.5471	-1257.855 	14.5	-1462.473 
